Year, Patch X, Patch Y, Previous Species List, Current Species List, Turnover, Specialization
1, -1, -1, [], [9 8 45 47 22 3 34 19 27 23 37 41 11 30 15 49], 16, [specialist specialist specialist specialist specialist specialist generalist specialist specialist specialist generalist generalist specialist specialist specialist specialist specialist specialist specialist specialist generalist specialist]
1, -1, -2, [], [15 28 25 49 46 40 22 6 27 34 39 35 16 30 0 10 12 41 2 5], 20, [specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist generalist specialist specialist generalist specialist specialist specialist specialist specialist specialist generalist specialist]
1, 1, 2, [], [45 47 48 31 17 46 6 29 25 44 35 39 8 22 0 14 43], 17, [specialist specialist specialist specialist generalist specialist specialist generalist specialist generalist specialist generalist specialist specialist generalist specialist generalist specialist generalist specialist specialist specialist generalist specialist]
1, -2, -1, [], [18 2 45 47 33 46 42 20 49 16 36 15 14 21 27 38 8 32 43 12 19], 21, [generalist generalist generalist specialist specialist generalist specialist specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist specialist generalist specialist specialist generalist specialist specialist specialist specialist specialist generalist specialist]
1, 2, 0, [], [39 28 47 48 45 3 5 40 36 46 41 33 16], 13, [generalist specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist generalist generalist specialist specialist generalist specialist generalist generalist]
1, -1, 2, [], [14 15 36 35 47 17 44 22 10 21 16 32 41 46 45 29 48 8], 18, [specialist specialist specialist specialist generalist generalist specialist specialist specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist specialist specialist specialist generalist specialist]
1, 1, 0, [], [32 49 44 1 40 31 17 23 5 47 8 7 41 45 9 39 0 48 20 12 21 38 36 19], 24, [specialist specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist specialist specialist generalist generalist specialist specialist specialist generalist specialist specialist specialist specialist specialist generalist generalist generalist specialist specialist specialist specialist specialist]
1, 0, 2, [], [32 10 2 44 25 27 17 48 29 40 5 16 33 24 19 13 46 37 14 0], 20, [specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist]
1, -2, 0, [], [22 39 9 14 48 37 31 45 23 27 15 13 49 12 8], 15, [generalist specialist specialist specialist specialist generalist specialist specialist specialist generalist specialist specialist specialist specialist specialist generalist specialist specialist specialist]
1, -2, 2, [], [41 48 46 21 49 3 45 40 15 2 47 29 20 1 44 35 17 13], 18, [generalist specialist specialist specialist specialist specialist specialist specialist generalist specialist generalist specialist specialist specialist specialist specialist generalist specialist specialist specialist specialist generalist specialist specialist specialist generalist]
1, -1, 1, [], [47 40 45 33 38 44 19 48 42 28 3 30 22 39 25 26 37 18 29 27 15], 21, [specialist specialist generalist specialist specialist generalist specialist specialist specialist specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist specialist specialist generalist specialist specialist specialist specialist]
1, 2, 1, [], [1 18 23 8 44 14 0 48 27 46 43 45 2 10 7 29 13 37], 18, [specialist specialist generalist specialist generalist generalist specialist specialist specialist specialist generalist specialist specialist specialist generalist specialist generalist specialist specialist specialist specialist specialist specialist generalist]
1, 1, -1, [], [45 1 4 14 40 27 23 43 0 21 7 32 46], 13, [specialist specialist specialist specialist specialist generalist specialist generalist specialist specialist specialist specialist specialist specialist]
1, 0, 1, [], [47 26 5 1 29 44 45 19 24 36 23 27 49 2 46 10 4 41 18 16 12 20 48 13], 24, [specialist specialist specialist generalist generalist specialist generalist specialist generalist specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist generalist generalist]
1, 2, -2, [], [44 1 30 39 22 48 14 25 47 8 41 3 24 21 43], 15, [specialist generalist specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist]
1, 2, -1, [], [5 10 11 7 46 9 30 3 45 33 42 16 20 43 23 2 49 40 25], 19, [generalist generalist generalist specialist specialist specialist generalist generalist specialist specialist specialist specialist specialist specialist specialist specialist generalist generalist specialist specialist specialist specialist specialist]
1, 1, -2, [], [20 27 17 48 45 41 33 29 13 47 6 9], 12, [specialist generalist specialist specialist generalist specialist specialist specialist specialist generalist generalist specialist specialist generalist specialist specialist specialist generalist]
1, 2, 2, [], [3 48 41 6 19 46 5 30 32 20 26 47 23 39 12 25 16 31 1 21 27], 21, [specialist generalist specialist specialist generalist specialist generalist specialist generalist specialist specialist generalist specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist generalist specialist specialist specialist specialist]
1, 1, 1, [], [0 45 23 34 48 14 3 17 8 46 28 41 13], 13, [specialist specialist generalist specialist generalist specialist specialist specialist specialist generalist specialist specialist specialist specialist]
1, -1, 0, [], [31 26 4 37 47 49 3 28 9 25 16 27 11 10 35 22 19 41 18], 19, [specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist generalist specialist generalist generalist specialist specialist specialist specialist generalist specialist specialist specialist specialist]
1, -2, -2, [], [0 16 49 43 14 29 5 37 41 19 8 31 2 13 4 47 3 18 32], 19, [specialist generalist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist generalist specialist generalist specialist specialist generalist specialist specialist]
1, 0, -2, [], [22 27 48 0 45 29 37 39 35 31], 10, [specialist generalist generalist specialist specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist generalist]
1, -2, 1, [], [40 41 48 27 26 49 16 15 11 29 44 30 25 20 22], 15, [specialist generalist specialist specialist specialist specialist generalist specialist specialist generalist specialist specialist specialist specialist specialist specialist specialist]
1, 0, -1, [], [0 3 45 21 48 28 15 2 5 39 16 9 47 31 32 37], 16, [specialist specialist specialist specialist generalist generalist generalist generalist specialist generalist specialist specialist generalist generalist specialist specialist specialist generalist specialist specialist specialist specialist specialist generalist specialist]
1, 0, 0, [], [45 47 48 40 43 39 2 1 14 27 5 24 21 16 37 49 26 36 4 17 44 22 30 12 7 32 13], 27, [specialist specialist specialist generalist specialist specialist specialist specialist specialist generalist generalist specialist generalist specialist specialist specialist specialist generalist specialist specialist generalist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist]
2, -2, -1, [29 17 48 30 45], [17 48 45 30 1 29 49], 2, [generalist specialist generalist generalist specialist generalist specialist specialist generalist generalist specialist generalist generalist specialist]
