Year, Patch X, Patch Y, Previous Species List, Current Species List, Turnover, Specialization
1, 0, 0, [], [13 4 8 39 46 48 32 5], 8, [generalist specialist specialist specialist specialist specialist generalist specialist]
1, 1, 0, [], [49 27 14 48 20 32], 6, [generalist specialist generalist specialist specialist specialist specialist]
1, -2, 3, [], [23 27 43 4], 4, [specialist specialist specialist specialist specialist]
1, -1, 1, [], [42 49 1 9 25 47 37], 7, [specialist specialist generalist specialist specialist generalist specialist]
1, -4, -2, [], [47 3 36 16 27 29], 6, [specialist specialist specialist specialist specialist generalist specialist]
1, 1, -4, [], [8 4 5 49 17 43 46 2 30], 9, [specialist specialist generalist specialist specialist specialist specialist specialist generalist specialist]
1, 2, 1, [], [45], 1, [generalist]
1, 0, 4, [], [44 11 43 31 26 37], 6, [specialist specialist specialist specialist specialist specialist]
1, 2, -1, [], [6 45 40 4 3 36], 6, [generalist specialist specialist specialist specialist specialist]
1, -4, 4, [], [23 8 13 14 49], 5, [specialist specialist generalist specialist specialist]
1, -1, -3, [], [21 42 22 33 9], 5, [specialist specialist specialist specialist specialist specialist specialist specialist]
1, -2, 4, [], [42 22 48 41 30 45 29 16 34], 9, [generalist generalist specialist specialist specialist specialist specialist specialist specialist specialist]
1, 1, 3, [], [45 33 47 25 48 16 20], 7, [specialist generalist specialist generalist generalist generalist specialist specialist]
1, -3, 0, [], [2 28 27 48 46 0 14], 7, [specialist specialist specialist generalist generalist specialist specialist]
1, -1, 3, [], [27 22 47], 3, [specialist specialist generalist]
1, -2, 2, [], [16 12 18 26 8 30 47 39 1 34], 10, [generalist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist]
1, 1, 2, [], [25 20 21 3 14 5 16], 7, [specialist specialist specialist specialist specialist specialist specialist]
1, -1, -2, [], [28 17 35 21 37 45 7 16], 8, [specialist specialist specialist specialist specialist specialist specialist generalist specialist]
1, -4, -1, [], [26 33 5 43], 4, [specialist specialist specialist specialist]
1, 2, -2, [], [29 18 2 3 22 16 12 49 15], 9, [specialist specialist specialist specialist specialist specialist generalist specialist specialist specialist]
1, -4, -3, [], [1 2 38 12 29 48 3], 7, [specialist generalist specialist specialist specialist specialist specialist]
1, 3, 4, [], [18 42 11 41 31 48 7 30], 8, [specialist specialist specialist specialist specialist specialist generalist specialist specialist]
1, 3, -4, [], [49 19 6 2], 4, [specialist generalist specialist specialist]
1, -1, 0, [], [6 20 48], 3, [generalist specialist specialist]
1, 3, -3, [], [30 48 46], 3, [generalist generalist specialist]
1, 2, 0, [], [2 46 45 13 10 7 5 6], 8, [specialist specialist specialist generalist generalist generalist specialist generalist specialist specialist]
