Year, Patch X, Patch Y, Previous Species List, Current Species List, Turnover, Specialization
1, 0, 0, [], [9 48 0 26 39], 5, [generalist specialist specialist specialist specialist]
1, 2, -2, [], [40 47 33 45 4 35], 6, [specialist specialist specialist specialist generalist generalist]
1, 3, 2, [], [48 31 23 0 34 46 12], 7, [specialist specialist generalist specialist specialist generalist specialist]
1, -2, 2, [], [32 15 44 47 45 0 39], 7, [generalist specialist specialist specialist generalist specialist specialist]
1, -1, 0, [], [5 24 0 18 35 22 13 25], 8, [specialist specialist specialist specialist specialist specialist specialist specialist]
1, -4, -2, [], [31 29], 2, [specialist specialist specialist]
1, 0, -4, [], [14 6 49 5 32 25 21 24 42 10], 10, [specialist specialist specialist specialist specialist specialist specialist generalist specialist generalist specialist]
1, 1, -4, [], [14 49 48 44 27 37], 6, [specialist generalist specialist generalist specialist specialist]
1, 3, -1, [], [48 7 30 26 46 47 17], 7, [specialist specialist generalist specialist generalist generalist specialist generalist specialist]
1, 0, 4, [], [42 6], 2, [specialist specialist]
1, 4, -1, [], [48 23 47 46 1 35 6], 7, [specialist generalist generalist specialist generalist specialist specialist]
1, 4, 0, [], [45 16 41 31], 4, [generalist specialist specialist specialist generalist specialist]
1, 3, 1, [], [27 48 39 45 42 46], 6, [specialist specialist generalist generalist specialist generalist generalist]
1, 0, -3, [], [40 22 21 5 34 39 18 10 28 20], 10, [specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist]
1, -4, -4, [], [24 22 44 32 43 49], 6, [generalist specialist specialist specialist specialist specialist]
1, 4, -4, [], [1 47 34 49 38 46 30 43 12], 9, [specialist specialist specialist specialist specialist generalist specialist generalist specialist generalist]
1, 3, 4, [], [48 46 7 44 45 4 42 14 33 47], 10, [generalist generalist specialist generalist specialist specialist generalist specialist specialist generalist specialist specialist]
1, 2, 2, [], [49 31 24 48 40 38 16], 7, [generalist generalist specialist specialist specialist specialist specialist specialist specialist]
1, -4, 2, [], [46 20 1 41 6 43], 6, [specialist specialist generalist specialist generalist specialist specialist]
1, -1, 1, [], [8 3 27 46 48 0 45 35], 8, [specialist specialist generalist specialist specialist generalist specialist generalist specialist]
1, 2, -4, [], [2 41 46 39 7 18 15 16 29 14 48 42], 12, [specialist specialist specialist generalist specialist specialist specialist generalist generalist specialist specialist specialist specialist]
1, -2, -1, [], [14 13 47 45 18 2 25 42 3], 9, [specialist specialist specialist generalist specialist specialist specialist generalist specialist specialist specialist]
1, 0, 2, [], [32 47 10 23 48], 5, [generalist specialist specialist generalist specialist generalist]
1, 4, -2, [], [39 7 16 24 9 49 17 48], 8, [specialist generalist specialist specialist generalist specialist generalist specialist specialist]
1, 4, -3, [], [5 29 46 6 25 37 17 15], 8, [specialist specialist specialist generalist specialist specialist specialist specialist]
1, -3, -3, [], [6 40 21 18 37 28 1 49], 8, [specialist specialist specialist generalist specialist specialist specialist specialist]
1, 1, 3, [], [45 47 46 8 41 13 20 6 26 36 31 24 3 39 9], 15, [specialist generalist specialist specialist specialist specialist specialist specialist specialist generalist specialist specialist specialist generalist specialist specialist]
1, -2, 0, [], [45 11 46 35], 4, [specialist specialist generalist generalist]
1, 1, 2, [], [49 5 2 48 47 14], 6, [generalist generalist generalist specialist specialist generalist specialist]
1, 3, -3, [], [44 45 5], 3, [specialist generalist specialist]
1, -1, -3, [], [46 42 11 48 5 43 32 2 36], 9, [generalist specialist specialist specialist specialist generalist specialist specialist specialist]
1, -3, 1, [], [49 5 21 13], 4, [specialist specialist generalist specialist generalist]
1, -3, -4, [], [28 41 29 4 39 33], 6, [specialist specialist specialist specialist specialist specialist]
1, 0, -2, [], [45 36 42 39 19], 5, [specialist specialist specialist generalist specialist specialist]
1, -1, 2, [], [49 47 38 12 23 8 20 24 29], 9, [specialist generalist generalist specialist specialist specialist specialist specialist specialist]
1, 4, 1, [], [25 22 2 12], 4, [specialist specialist specialist specialist]
1, -3, 3, [], [46 39 2 4 6 18 16 32 28], 9, [specialist specialist specialist specialist specialist specialist specialist generalist specialist]
1, -2, -3, [], [46 37 29 12 44 10 47], 7, [specialist specialist specialist specialist generalist generalist specialist]
1, 2, 1, [], [48 14], 2, [specialist generalist]
1, 1, 4, [], [47 46 19 8 44], 5, [generalist generalist specialist specialist specialist]
1, -2, -2, [], [19 45 29 31], 4, [specialist generalist specialist specialist]
1, -3, 0, [], [45 47 9 39 42 11 15 49], 8, [specialist generalist generalist specialist generalist specialist generalist generalist specialist specialist]
1, -1, -2, [], [25 10 30 34 42 6 38], 7, [specialist specialist specialist specialist specialist specialist specialist]
1, 1, -3, [], [8 27 10 41 24 2 34 16 3 37], 10, [specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist]
1, -2, 4, [], [2 5 35 18 30 44 34], 7, [specialist specialist specialist specialist specialist specialist specialist]
1, -4, 4, [], [24 8 33 3], 4, [specialist specialist specialist specialist specialist]
1, -2, 1, [], [5 31 29 49 43 45 48 37], 8, [generalist specialist specialist specialist generalist specialist generalist specialist specialist]
1, 0, 1, [], [6 8 0 38], 4, [specialist specialist specialist specialist specialist]
1, 2, -3, [], [46 40 38 33 3 45 35], 7, [generalist generalist specialist specialist specialist specialist specialist]
1, 2, -1, [], [17 47 40 35 0], 5, [specialist generalist specialist specialist specialist specialist]
1, -4, -3, [], [6 11 49 4 37 9], 6, [generalist specialist specialist specialist specialist specialist]
1, 0, 3, [], [9 45 43 1 39 17 12], 7, [specialist specialist generalist specialist specialist specialist specialist]
1, -3, -2, [], [47 45 8 44], 4, [specialist generalist generalist specialist]
1, -3, 2, [], [15 20 11 23 24 45 40 49 5 41 37], 11, [specialist specialist generalist specialist specialist specialist specialist generalist specialist specialist specialist specialist specialist]
1, 4, 2, [], [43 3 5 40 1 49 2 17 27], 9, [specialist specialist specialist specialist specialist specialist specialist specialist generalist]
1, -2, 3, [], [48 47 5], 3, [specialist generalist generalist]
1, -2, -4, [], [48 49 26 28 10 5 40 7], 8, [specialist specialist specialist generalist generalist generalist specialist specialist specialist]
1, 1, -1, [], [7 24 21 1 48 13 46], 7, [specialist generalist specialist specialist generalist specialist specialist]
1, 3, -2, [], [39 3 25 8 0 43 21 1], 8, [specialist specialist specialist specialist specialist specialist specialist specialist]
1, -3, -1, [], [20 38 43 0 39 45 14], 7, [specialist specialist specialist specialist specialist specialist generalist]
1, -3, 4, [], [29 35 45 24], 4, [specialist specialist specialist generalist]
1, 3, 3, [], [23 36 31 24 18 26 9], 7, [specialist specialist specialist specialist specialist specialist specialist]
1, 2, 3, [], [5 0 45 49 44 48], 6, [specialist specialist specialist generalist generalist generalist]
1, -1, 4, [], [27 33 13], 3, [specialist specialist specialist]
1, 2, 4, [], [42 47 16 30 37], 5, [specialist generalist specialist specialist specialist]
1, 1, 1, [], [6 8 23 37 29], 5, [specialist specialist specialist specialist specialist]
1, -4, 1, [], [30 34 36 22], 4, [specialist specialist specialist specialist]
1, 0, -1, [], [48 8 25 26 2 5 11 40], 8, [specialist specialist specialist specialist specialist generalist specialist specialist generalist]
1, -1, -1, [], [2 11 34 26 17 49 18 25], 8, [specialist specialist specialist generalist specialist specialist specialist specialist]
1, -4, 0, [], [44 17 33 10 13 11 31], 7, [specialist specialist specialist specialist specialist specialist specialist]
1, 2, 0, [], [25 30 45 46 38 36 7 13], 8, [specialist specialist generalist specialist generalist generalist specialist specialist specialist specialist]
1, -1, 3, [], [45 21 4 33 31], 5, [specialist generalist specialist specialist specialist]
1, 3, 0, [], [41 38 16 49 19], 5, [generalist specialist specialist specialist specialist]
1, -4, -1, [], [47 35 22 46 5 42 44 43 37], 9, [specialist generalist generalist specialist specialist specialist specialist specialist specialist generalist]
1, 4, 4, [], [48 25 10], 3, [specialist generalist specialist]
1, 1, 0, [], [48 42 20 12], 4, [specialist specialist specialist generalist]
1, -4, 3, [], [1 31 20 4 11 24 25 46 5], 9, [specialist specialist generalist specialist specialist specialist specialist specialist specialist specialist]
1, -1, -4, [], [49 11 15 34], 4, [generalist specialist specialist specialist generalist]
1, 4, 3, [], [28 40 46 22 43 9 25], 7, [specialist specialist specialist generalist specialist specialist specialist]
1, 1, -2, [], [8 48 27 41 45 10], 6, [specialist generalist specialist specialist specialist generalist specialist]
1, 3, -4, [], [47 37 6 18 45 8], 6, [specialist specialist specialist generalist specialist generalist]
2, 4, 2, [47 15 6 49 7 45 46], [47 7 42 45 46 21 49], 4, [generalist generalist generalist specialist generalist specialist specialist generalist generalist]
2, 3, 1, [46 48 49 47 45 26], [48 46 47 49 37 34 15], 5, [generalist specialist generalist generalist generalist generalist generalist generalist generalist generalist generalist specialist generalist generalist generalist generalist specialist]
2, 1, -2, [48 49 45 47], [15 48 47 45 7 49], 2, [generalist generalist specialist generalist specialist generalist generalist generalist generalist generalist generalist generalist]
2, 1, 0, [26 37 8 46], [45 49 39 46 48 37 26 10], 6, [generalist generalist generalist generalist specialist generalist specialist specialist specialist generalist generalist]
2, -1, -4, [48 7 26 47 49 35], [48 21 7 47 49 35], 2, [specialist specialist generalist generalist generalist generalist specialist generalist specialist generalist specialist generalist generalist specialist]
2, -4, 2, [21 26 15 46 45 7 48], [7 8 42 49 45 48], 7, [generalist generalist specialist specialist specialist generalist specialist]
2, 2, 1, [15 35 48 24 47 37 43], [37 24 34 35 15 45 42 26 47 49], 7, [specialist generalist specialist specialist specialist specialist specialist specialist generalist specialist generalist specialist specialist specialist specialist specialist]
2, -4, 1, [45 48 7 47 26 21], [48 45 43 7 47 15], 4, [generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist specialist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist specialist generalist generalist specialist]
2, 4, 1, [45 18 48 42], [45 24 48 21 43], 5, [generalist specialist specialist specialist generalist]
2, 4, -2, [12 48 26 8 15 37 45 6 29 35 43], [15 49 45 7 8], 10, [specialist specialist generalist generalist specialist]
2, -3, 4, [43 8 47 21 45 49], [18 21 8 49 47 10 37 43], 4, [specialist specialist specialist generalist specialist specialist specialist specialist specialist generalist specialist specialist specialist]
2, -3, -2, [26 39 29 35 18 48 7 46], [39 48], 6, [specialist generalist]
2, 4, -1, [48 17 47 49 45 24], [48 47 49 45], 2, [generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist]
2, -4, 4, [45 48 49 38 43], [48 49 17 12 45 43], 3, [generalist generalist generalist generalist generalist specialist generalist generalist generalist specialist generalist specialist generalist generalist]
2, -4, -3, [49 17 12 46 45 34 38 33 18 42], [42 46 45 49 18 38 12 33 48], 3, [specialist generalist specialist generalist generalist specialist specialist generalist generalist specialist]
2, -2, -1, [7 43 26 45 38 35 18 12 34], [7 45 43 21 18 38 12 33 34 35], 3, [specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist generalist specialist specialist]
2, 3, 2, [49 26 15 47 46 8], [49 26 21 8 38 15 47 24], 4, [generalist specialist specialist specialist specialist specialist specialist specialist specialist generalist]
2, 0, 0, [8 26 48 39 46 37], [26 48 8 47 7 49 39 37 46], 3, [specialist specialist generalist specialist generalist generalist generalist specialist specialist specialist specialist specialist specialist generalist specialist generalist specialist]
2, 0, 2, [26 7 5 46 10 34], [7 48 45 46 5 37 8 34], 6, [specialist specialist specialist specialist specialist generalist specialist generalist specialist generalist generalist specialist specialist]
2, 1, 1, [39 37 8 10 26 48 47 12 49], [39 37 48 7 26 10 49 8 47 21], 3, [specialist specialist specialist generalist specialist generalist generalist specialist specialist generalist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist specialist generalist generalist specialist generalist]
2, -3, 0, [35 45 43 7 12], [45 18 35 26 12 7 43], 2, [specialist specialist specialist specialist specialist specialist generalist specialist]
2, -2, 1, [26 45 7 47 39 37 21 48 43], [39 26 35 48 46 7], 7, [specialist specialist specialist generalist specialist specialist specialist generalist specialist specialist specialist generalist specialist specialist]
2, -4, 0, [49 34 48 47 12 7 14], [18 49 15 7 48 47 14 12], 3, [specialist specialist generalist specialist specialist generalist specialist specialist generalist specialist specialist generalist]
2, -2, -2, [45 49 7 43 46 48], [45 8 46 48 18], 5, [generalist generalist generalist generalist generalist generalist generalist generalist specialist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist specialist generalist generalist generalist generalist generalist generalist generalist]
2, -1, 4, [48 49 46 45 24 7 43], [43 48 49 45 7 15 21 46], 3, [generalist specialist generalist generalist generalist generalist generalist generalist generalist specialist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist specialist specialist specialist generalist generalist generalist generalist specialist]
2, -3, -1, [45 35 47 7 17 48 46], [7 17 47 45 48], 2, [specialist specialist generalist generalist generalist generalist specialist specialist generalist generalist generalist generalist]
2, 2, -4, [7 49 45 18 48 37 15 24 29], [18 26 7 45 49], 6, [specialist specialist specialist specialist generalist generalist]
2, 0, -4, [49 48 46 45 35 47 7], [45 46 48 49 47 37 43], 4, [generalist generalist generalist generalist generalist specialist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist specialist generalist generalist generalist generalist generalist generalist]
2, 0, 1, [48 26 35 10 8 47 24 37 49 39 21], [8 10 37 48 26 47 39 49 45], 4, [generalist generalist specialist specialist generalist generalist specialist specialist specialist specialist specialist generalist generalist specialist specialist generalist generalist specialist specialist specialist specialist specialist specialist specialist specialist]
2, 1, 4, [46 8 49 48 7 45], [48 26 10 45 49 43 46], 5, [specialist generalist specialist generalist generalist specialist generalist generalist generalist generalist specialist generalist generalist generalist generalist]
2, -3, -3, [45 26 43 12 49], [37 49 45 46 42 18], 7, [generalist generalist specialist generalist generalist generalist specialist generalist specialist generalist generalist]
2, 0, -3, [46 15 49 29 7 21 45 48], [29 45 37 21 15 43 26 49 46], 5, [generalist generalist specialist specialist specialist specialist specialist specialist specialist generalist specialist generalist specialist]
2, -4, -4, [48 45 38 43 47 49 26 8 37], [46 48 29 47 8 38 49 26 45 37], 3, [generalist specialist generalist specialist generalist specialist generalist specialist generalist specialist generalist generalist specialist specialist generalist specialist generalist generalist generalist specialist generalist generalist]
2, -1, -2, [45 46 48 49 47 14], [46 47 45 48 39], 3, [generalist specialist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist]
2, -3, 1, [39 48 26 12 37 43 49], [39 26 7 37 48 47 49], 4, [generalist generalist specialist generalist specialist specialist specialist specialist specialist specialist generalist specialist specialist generalist specialist generalist generalist generalist specialist specialist specialist]
2, -1, 0, [45 48 49 43], [43 37 48 26], 4, [specialist generalist specialist specialist specialist specialist]
2, 3, -1, [48 47 45 49 46 29 34], [48 47 24 49 45 46 35 43], 5, [generalist generalist generalist generalist generalist specialist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist generalist specialist generalist generalist generalist generalist specialist generalist generalist generalist generalist generalist generalist generalist generalist]
2, 0, 3, [7 46 47 48 26 49 15 5], [49 24 7 39 48 5 46 47], 4, [generalist generalist specialist generalist generalist specialist specialist generalist generalist specialist]
2, -3, -4, [49 48 15 45 47 12 8 39], [26 8 49 48 37 47], 6, [specialist specialist generalist specialist specialist generalist generalist generalist generalist]
2, -2, 3, [8 26 48 47 7 43 15], [47 7 0 43], 5, [generalist specialist specialist specialist specialist]
2, 3, 0, [48 7 47 45 46 24], [48 46], 4, [generalist generalist generalist generalist generalist generalist]
2, -2, -4, [48 45 37 49], [45 48 47 46 35 15 38 7 49], 7, [generalist specialist generalist specialist generalist generalist specialist generalist generalist generalist generalist generalist generalist generalist specialist generalist generalist generalist specialist generalist]
2, -2, -3, [8 29 47 48 45 39 26 49 37], [48 49 45 37 47 24 29 8], 3, [generalist specialist specialist generalist specialist generalist generalist specialist generalist]
2, 1, -3, [48 45 21 15 47 29 18 7 10], [48 7 37 46], 9, [generalist specialist specialist generalist generalist specialist]
2, 4, -3, [48 7 43 12 45 38 49 42], [7 45 38 12], 4, [generalist specialist specialist specialist specialist generalist]
2, 4, 3, [15 21 37 45 7 47 42 18], [15 45 21 42 47 7 37 18], 0, [generalist specialist specialist generalist specialist generalist specialist specialist specialist specialist generalist specialist specialist specialist generalist specialist]
2, 1, -4, [46 45 48 29 37 15], [46 45 29 7 48 47 43 6], 6, [specialist generalist specialist generalist generalist generalist specialist specialist generalist generalist generalist generalist specialist generalist generalist generalist specialist]
2, -1, 2, [24 26 37 35 21 43 48 7 15], [46 26 7], 8, [generalist specialist specialist specialist]
2, 1, 3, [37 48 24 25 49 47 7], [25 37 49 48 47 15], 3, [specialist specialist specialist specialist generalist generalist generalist specialist generalist generalist]
2, 2, 3, [37 35 48 18 49 45 7], [48 46 45 37 12 35], 5, [generalist specialist specialist specialist specialist specialist generalist generalist generalist generalist]
