Year, Patch X, Patch Y, Previous Species List, Current Species List, Turnover, Specialization
1, 4, -1, [], [6 3 15 28], 4, [specialist specialist specialist specialist]
1, -3, 0, [], [25 39], 2, [specialist specialist specialist]
1, 0, 1, [], [34 36 49 12 2 8], 6, [specialist specialist specialist specialist generalist specialist]
1, 3, -3, [], [39 8 4 25], 4, [specialist specialist specialist specialist]
1, 4, 2, [], [8 40 1 21 49 46 26], 7, [specialist generalist generalist specialist specialist specialist specialist specialist]
1, -2, -5, [], [0 12 28 48 36 11 10], 7, [specialist specialist generalist specialist specialist specialist specialist]
1, -2, 5, [], [25 31 28 44 16], 5, [specialist specialist specialist specialist specialist]
1, -2, -3, [], [48 2 40 31 5], 5, [generalist specialist specialist specialist specialist]
1, 3, -5, [], [45 3 49 36], 4, [generalist specialist generalist specialist]
1, 3, -4, [], [49 7 0 15 21 6 32], 7, [generalist specialist specialist specialist specialist specialist specialist]
1, -5, -4, [], [46 49 16 45 39 34 27 31 14 12], 10, [generalist generalist specialist specialist generalist specialist specialist specialist specialist generalist specialist]
1, 0, -2, [], [28 49], 2, [specialist generalist]
1, 4, 1, [], [49 46 8 6], 4, [specialist specialist generalist generalist]
1, 0, 5, [], [29 11 0], 3, [specialist specialist specialist]
1, -2, 1, [], [33 12], 2, [specialist specialist]
1, 5, 0, [], [39 5 37 35 28], 5, [specialist specialist specialist specialist specialist]
1, 5, 2, [], [11 42 37 8 0 31 1], 7, [specialist specialist specialist specialist specialist specialist specialist]
1, 0, -1, [], [6 45 2 41 39 26], 6, [specialist generalist specialist specialist specialist specialist]
1, 3, -1, [], [46 49 0 13], 4, [generalist generalist specialist specialist specialist generalist]
1, -3, -2, [], [1 10 36 19], 4, [specialist specialist specialist specialist specialist]
1, -4, -2, [], [18 13 11 15 22 48], 6, [specialist specialist specialist specialist specialist generalist]
1, -4, 2, [], [47 48 20 25 37 19], 6, [specialist generalist specialist generalist generalist specialist specialist]
1, 2, 5, [], [9 17], 2, [specialist specialist]
1, -5, -1, [], [11 48 9 30], 4, [specialist specialist specialist generalist]
1, -1, 1, [], [36 30 22], 3, [specialist specialist specialist specialist]
1, 0, 4, [], [41 29 48 46 1 32 8 24], 8, [specialist specialist specialist generalist specialist specialist generalist specialist]
1, 1, 1, [], [41 31 46 49 36 45 7], 7, [specialist specialist generalist specialist generalist specialist generalist]
1, 0, -3, [], [48 25 42], 3, [generalist specialist specialist]
1, 4, -3, [], [23 28 48 25], 4, [specialist generalist specialist specialist]
1, 5, -5, [], [43 34 46 39], 4, [specialist specialist generalist specialist]
1, 2, -1, [], [9 13 8 2 41 19], 6, [specialist specialist specialist specialist specialist specialist]
1, 4, 5, [], [26 5 4], 3, [specialist specialist specialist]
1, -1, -3, [], [43 46 40 9 14], 5, [specialist specialist specialist specialist generalist]
1, 1, 0, [], [21 3 7 8 39 42], 6, [specialist specialist specialist specialist specialist specialist]
1, -5, -2, [], [3 11 18 45 33 35], 6, [specialist generalist specialist specialist specialist specialist]
