Year, Patch X, Patch Y, Previous Species List, Current Species List, Turnover, Specialization
1, 0, 0, [], [10 48], 2, [generalist specialist]
1, -5, 4, [], [37 13 29 3 2 49 48], 7, [generalist specialist specialist specialist specialist generalist specialist]
1, 5, 0, [], [20 42 13 5 48], 5, [generalist specialist specialist specialist specialist]
1, 3, 0, [], [29 24 26], 3, [specialist specialist specialist]
1, 2, 5, [], [47 20 32 15 22], 5, [specialist specialist specialist specialist generalist]
1, 3, -1, [], [6 33 45], 3, [generalist generalist specialist specialist]
1, -2, -3, [], [8 33 35 13 7 25 10], 7, [specialist specialist specialist specialist specialist specialist specialist]
1, 2, 1, [], [36 45 8 33 41], 5, [specialist specialist specialist specialist generalist generalist]
1, 3, 1, [], [8 5], 2, [specialist specialist]
1, -5, 5, [], [13 29 34 49 24 48 45 31], 8, [generalist specialist specialist generalist generalist specialist specialist specialist generalist]
1, -2, 0, [], [10 49 24 35 33 23 26], 7, [generalist specialist specialist specialist specialist specialist specialist]
1, -1, -2, [], [3], 1, [specialist]
1, -2, -4, [], [47 45 36 12 13 28 23 32 21], 9, [specialist specialist specialist specialist specialist generalist generalist specialist specialist]
1, -5, 0, [], [19 48 13 26], 4, [specialist generalist specialist specialist]
1, 2, 3, [], [41 39 16 14 32 45], 6, [specialist specialist specialist specialist specialist generalist]
1, 3, -3, [], [35 25 46 14], 4, [generalist specialist specialist specialist]
1, 3, 3, [], [6 20 49 14 25 18 32 38], 8, [specialist specialist specialist specialist specialist generalist specialist specialist specialist generalist specialist specialist]
1, 4, -1, [], [32 28 21 39 46], 5, [generalist specialist specialist specialist specialist specialist]
1, -3, 0, [], [3 26 38], 3, [specialist specialist specialist]
1, -4, -5, [], [46 13 33 2 35 45 12], 7, [specialist generalist specialist generalist generalist specialist specialist specialist]
1, 2, -1, [], [31 40 37], 3, [specialist specialist specialist]
1, 5, 1, [], [33 38 24], 3, [specialist specialist specialist]
1, 3, 2, [], [19 49 29 9 36], 5, [specialist generalist generalist specialist specialist specialist]
1, -4, 5, [], [45 34 24], 3, [specialist specialist generalist]
1, -5, 3, [], [41 13 15 45 26 18], 6, [specialist specialist specialist generalist specialist generalist specialist]
1, -2, -2, [], [2 44 47], 3, [specialist specialist specialist generalist]
1, 4, -2, [], [16 17 49 14 3 45], 6, [generalist specialist specialist generalist specialist specialist]
1, -3, 4, [], [25 38 46 48 23], 5, [specialist specialist generalist generalist generalist specialist]
1, -3, 5, [], [2 26 46 49], 4, [generalist generalist specialist specialist]
1, 5, 5, [], [27 41 49 31 36], 5, [specialist specialist generalist specialist specialist]
1, 0, -5, [], [30 1 21 22 26 20], 6, [specialist specialist specialist specialist specialist specialist]
1, -5, 2, [], [41 20 26 3 38], 5, [specialist specialist specialist specialist specialist specialist]
1, -2, 5, [], [7 49], 2, [specialist specialist generalist]
1, -1, 5, [], [49 43 30], 3, [specialist specialist generalist]
1, -1, 4, [], [28 7 49], 3, [specialist generalist specialist]
1, 5, -4, [], [16 8], 2, [specialist specialist]
1, -3, -4, [], [21 3 37], 3, [specialist specialist specialist]
